image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
131,4823,jpeg,5,376,2.9375,421.298828125,21.884901097627903,0.76833369971463,False
131,4823,jpeg,10,406,3.171875,215.671875,24.79286846867339,0.8621271454386727,False
131,4823,jpeg,20,443,3.4609375,131.41796875,26.9442561059509,0.898985318974909,False
131,4823,jpeg,35,491,3.8359375,88.0068359375,28.685639535514845,0.9299862847265115,False
131,4823,jpeg,50,525,4.1015625,65.5595703125,29.964442623929042,0.9498470808583248,False
131,4823,jpeg,75,618,4.828125,32.7314453125,32.98115178126824,0.9697896830822587,False
131,4823,jpeg,90,786,6.140625,10.2646484375,38.01736281420279,0.9849389829335824,False
131,4823,jpeg,95,949,7.4140625,3.298828125,42.94720672272732,0.9962258918181609,False
131,4823,webp,1,126,0.984375,217.6025390625,24.754164023123582,0.8540505467180406,False
131,4823,webp,5,144,1.125,165.7353515625,25.936652069989783,0.8816066735142982,False
131,4823,webp,10,168,1.3125,140.3740234375,26.657936129140168,0.9014961327152432,False
131,4823,webp,20,198,1.546875,96.1240234375,28.302484202078052,0.9277582082423117,False
131,4823,webp,35,244,1.90625,52.5751953125,30.922994661384923,0.9575553898615302,False
131,4823,webp,50,278,2.171875,32.88671875,32.96059816660325,0.9716760399600333,False
131,4823,webp,75,340,2.65625,19.896484375,35.14304015685391,0.9833877804177186,False
131,4823,webp,90,550,4.296875,4.2490234375,41.84791234215005,0.9960045491068724,False
131,4823,webp,95,654,5.109375,1.8935546875,45.35802508429016,0.9980127735985515,False
132,26627,raw,,1024,8.0,0.0,,1.0,True
132,26627,zlib,,1021,7.9765625,0.0,,1.0,True
132,26627,png,,897,7.0078125,0.0,,1.0,True
132,26627,jpeg,1,353,2.7578125,759.404296875,19.326073107243605,0.4316561074118916,False
132,26627,jpeg,5,369,2.8828125,413.19921875,21.969208691550918,0.6505740284158791,False
132,26627,jpeg,10,403,3.1484375,250.1689453125,24.14846963250237,0.7935506627490557,False
132,26627,jpeg,20,449,3.5078125,143.5244140625,26.56154578329072,0.8845130167455704,False
132,26627,jpeg,35,493,3.8515625,91.751953125,28.504650430131917,0.9253728636984812,False
