image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
16,26453,webp,90,384,3.0,4.7666015625,41.34871509851201,0.9932216568145313,False
16,26453,webp,95,500,3.90625,2.158203125,44.78988043822611,0.9969441157470722,False
17,17039,raw,,1024,8.0,0.0,,1.0,True
17,17039,zlib,,884,6.90625,0.0,,1.0,True
17,17039,png,,797,6.2265625,0.0,,1.0,True
17,17039,jpeg,1,347,2.7109375,416.1611328125,21.938188438420735,0.35234231361816587,False
17,17039,jpeg,5,357,2.7890625,223.880859375,24.63063395574508,0.5369752531965176,False
17,17039,jpeg,10,376,2.9375,132.1455078125,26.920279566646744,0.6827343381524951,False
17,17039,jpeg,20,412,3.21875,77.1259765625,29.258796847923186,0.8029079975346521,False
17,17039,jpeg,35,450,3.515625,50.345703125,31.11117950302672,0.8583790780856939,False
17,17039,jpeg,50,483,3.7734375,37.630859375,32.3753622446251,0.898645357908413,False
17,17039,jpeg,75,552,4.3125,19.830078125,35.15755935659604,0.9439877222949865,False
17,17039,jpeg,90,693,5.4140625,7.8466796875,39.18394436408359,0.9783017995473753,False
17,17039,jpeg,95,850,6.640625,3.0869140625,43.235558216681426,0.9905773139576325,False
17,17039,webp,1,92,0.71875,171.3798828125,25.791205193383746,0.5626051740034671,False
17,17039,webp,5,112,0.875,114.150390625,27.55602958874405,0.6756193553864369,False
17,17039,webp,10,122,0.953125,93.4462890625,28.42518301505967,0.7234041252844444,False
17,17039,webp,20,154,1.203125,62.9716796875,30.13935083171953,0.8284595414114713,False
17,17039,webp,35,186,1.453125,45.0234375,31.596417109344227,0.8707322008548756,False
17,17039,webp,50,212,1.65625,32.919921875,32.9562156498675,0.9006209821850375,False
17,17039,webp,75,268,2.09375,18.6796875,35.41710754400004,0.9451860828196491,False
17,17039,webp,90,454,3.546875,4.3623046875,41.733643650358836,0.9872283895229014,False
17,17039,webp,95,572,4.46875,1.8564453125,45.443982006422786,0.9946660498697707,False
18,7166,raw,,1024,8.0,0.0,,1.0,True
18,7166,zlib,,1020,7.96875,0.0,,1.0,True
18,7166,png,,819,6.3984375,0.0,,1.0,True
18,7166,jpeg,1,353,2.7578125,818.138671875,19.002534394387688,0.49336752138898965,False
18,7166,jpeg,5,377,2.9453125,426.431640625,21.832309396171368,0.6530367376126212,False
18,7166,jpeg,10,406,3.171875,207.7431640625,24.955536189474046,0.7777393587145255,False
18,7166,jpeg,20,449,3.5078125,106.9912109375,27.837322579314932,0.8657320604291602,False
18,7166,jpeg,35,490,3.828125,72.162109375,29.54771141260113,0.9102777024388247,False
18,7166,jpeg,50,525,4.1015625,47.1708984375,31.39406212781362,0.933139394660649,False
18,7166,jpeg,75,607,4.7421875,27.0029296875,33.81669475298156,0.9559850626432453,False
18,7166,jpeg,90,761,5.9453125,8.87109375,38.65103191960025,0.9875336986647476,False
18,7166,jpeg,95,928,7.25,3.328125,42.9088073141306,0.9940420761197745,False
18,7166,webp,1,112,0.875,257.4326171875,24.024167889012777,0.7714086862843555,False
18,7166,webp,5,132,1.03125,135.5048828125,26.811254159134435,0.8710674302599498,False
18,7166,webp,10,142,1.109375,116.0166015625,27.48560221200476,0.8941648108207563,False
18,7166,webp,20,170,1.328125,75.248046875,29.36585128926523,0.9096308437959195,False
18,7166,webp,35,200,1.5625,47.42578125,31.37065867068531,0.9463257895707697,False
18,7166,webp,50,226,1.765625,35.2392578125,32.6605360787393,0.9584406626450404,False
18,7166,webp,75,278,2.171875,20.54296875,35.00417155366303,0.9735496269637449,False
18,7166,webp,90,444,3.46875,4.6259765625,41.47876932779766,0.9936596410092035,False
18,7166,webp,95,564,4.40625,2.048828125,45.01574833650183,0.9969719197087116,False
