threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.5,10,21349,1024,0,0,34,34,0.265625,0.0,8192,1.0,3765,0.4595947265625,5052.318359375,64.416015625,11.095896521272097,0.02395647871505528,0.4595947265625,0.12348190937499481,0.1268541945312478,0,8,,0,2.176142401700319,8,2300,,5052.318359375,True
0.5,11,29116,1024,0,0,34,34,0.265625,0.0,8192,1.0,4315,0.5267333984375,18567.865234375,122.279296875,5.4431838551934275,0.07185817414545176,0.5267333984375,0.12348190937499481,0.1268541945312478,0,8,,1,1.8984700973574409,13,2065,,18567.865234375,True
0.5,12,10772,1024,0,0,34,34,0.265625,0.0,8192,1.0,3902,0.476318359375,8267.6884765625,72.1552734375,8.95696256659485,0.05059371859060736,0.476318359375,0.12348190937499481,0.1268541945312478,0,8,,2,2.098692642912074,19,2039,,8267.6884765625,True
0.5,13,18332,1024,0,0,34,34,0.265625,0.0,8192,1.0,4116,0.50244140625,9604.30859375,84.43359375,8.30614255046263,0.04417945111231079,0.50244140625,0.12348190937499481,0.1268541945312478,0,8,,3,1.9897934386391252,12,2109,,9604.30859375,True
0.5,14,1003,1024,0,0,34,34,0.265625,0.0,8192,1.0,4168,0.5087890625,8952.6572265625,84.8916015625,8.611284040374846,0.015401406399934123,0.5087890625,0.12348190937499481,0.1268541945312478,0,8,,1,1.9652027837772978,14,2279,,8952.6572265625,True
0.5,15,22156,1024,0,0,34,34,0.265625,0.0,8192,1.0,3697,0.4512939453125,5423.775390625,55.97265625,10.787786646386818,0.08955066983599341,0.4512939453125,0.12348190937499481,0.1268541945312478,0,8,,2,2.2156385281385282,13,2033,,5423.775390625,True
0.5,16,26453,1024,0,0,34,34,0.265625,0.0,8192,1.0,3389,0.4136962890625,2072.482421875,33.30859375,14.96589505175184,0.05142097896379675,0.4136962890625,0.12348190937499481,0.1268541945312478,0,8,,0,2.417060212514758,8,2001,,2072.482421875,True
0.5,17,17039,1024,0,0,34,34,0.265625,0.0,8192,1.0,4632,0.5654296875,21176.6484375,142.5546875,4.872231340991503,0.04263560447343059,0.5654296875,0.12348190937499481,0.1268541945312478,0,8,,2,1.7676527747786654,16,1907,,21176.6484375,True
0.5,18,7166,1024,0,0,34,34,0.265625,0.0,8192,1.0,4018,0.490478515625,6533.771484375,68.5625,9.979164197108052,0.07630694879445772,0.490478515625,0.12348190937499481,0.1268541945312478,0,8,,1,2.0388349514563107,10,2181,,6533.771484375,True
0.5,19,48310,1024,0,0,34,34,0.265625,0.0,8192,1.0,4296,0.5244140625,18128.6875,120.189453125,5.547139981480856,0.05724617303779821,0.5244140625,0.12348190937499481,0.1268541945312478,0,8,,1,1.9066356228172294,22,2009,,18128.6875,True
